Language,Date,Word,PuzzleNumber
English,31/03/2022,equality,#89
English,31/03/2022,alcohol,#88
English,31/03/2022,spill,#87
English,31/03/2022,cliff,#86
English,31/03/2022,gather,#85
English,31/03/2022,roll,#84
English,31/03/2022,lend,#83
English,31/03/2022,contribution,#82
English,31/03/2022,note,#81
English,31/03/2022,mother,#80
English,31/03/2022,horse,#79
English,31/03/2022,philosophical,#78
English,31/03/2022,grateful,#77
English,31/03/2022,recruit,#76
English,31/03/2022,gathering,#75
English,31/03/2022,title,#74
English,31/03/2022,apple,#73
English,31/03/2022,prevail,#72
English,31/03/2022,bar,#71
English,31/03/2022,button,#70
English,31/03/2022,asset,#69
English,31/03/2022,surprise,#68
English,31/03/2022,absolute,#67
English,31/03/2022,athletic,#66
English,31/03/2022,cooperation,#65
English,31/03/2022,direct,#64
English,31/03/2022,vendor,#63
English,28/02/2022,present,#62
English,28/02/2022,democratic,#61
English,28/02/2022,principle,#60
English,28/02/2022,soar,#59
English,28/02/2022,newspaper,#58
English,28/02/2022,ugly,#57
English,28/02/2022,nod,#56
English,28/02/2022,cooperate,#55
English,28/02/2022,rocket,#54
English,28/02/2022,shot,#53
English,28/02/2022,craft,#52
English,28/02/2022,curriculum,#51
English,28/02/2022,resist,#50
English,28/02/2022,pot,#49
English,28/02/2022,assemble,#48
English,28/02/2022,objective,#47
English,28/02/2022,area,#46
English,28/02/2022,circle,#45
English,28/02/2022,track,#44
English,28/02/2022,greet,#43
English,28/02/2022,pork,#42
English,28/02/2022,manager,#41
English,28/02/2022,speaker,#40
English,28/02/2022,generous,#39
English,28/02/2022,surrounding,#38
English,28/02/2022,field,#37
English,28/02/2022,selection,#36
English,28/02/2022,bat,#35
English,28/02/2022,value,#34
English,28/02/2022,bold,#33
English,28/02/2022,liver,#32
English,31/01/2022,suitable,#31
English,31/01/2022,spy,#30
English,31/01/2022,piano,#29
English,31/01/2022,ideological,#28
English,31/01/2022,appreciation,#27
English,31/01/2022,historian,#26
English,31/01/2022,costly,#25
English,31/01/2022,world,#24
English,31/01/2022,seek,#23
English,31/01/2022,level,#22
English,31/01/2022,miracle,#21
English,31/01/2022,plea,#20
English,31/01/2022,consume,#19
English,31/01/2022,monthly,#18
English,31/01/2022,surgeon,#17
English,31/01/2022,latter,#16
English,31/01/2022,tail,#15
English,31/01/2022,most,#14
English,31/01/2022,display,#13
English,31/01/2022,patent,#12
English,31/01/2022,vital,#11
English,31/01/2022,crush,#10
English,31/01/2022,candle,#9
English,31/01/2022,favorite,#8
English,31/01/2022,boil,#7
English,31/01/2022,eager,#6
English,31/01/2022,belt,#5
English,01/02/2022,overnight,#4
English,31/01/2022,patience,#3
English,30/01/2022,elevator,#2
